CATAID,Z,nQ,Z_TONRY,logmstar,dellogmstar,logage,dellogage,metal,delmetal,gminusi,delgminusi,CATAID.1,X,Y,Z.1,d,GroupID,BranchID,FilID,CATAID.2,X.1,Y.1,Z.2,TendrilID
543814,0.18295,4,0.183976,10.5291,0.115554,9.84357,0.159268,0.00407953,0.0044643,0.955552,0.0679083,543814.0,42.2864801556166,529.871733813072,-9.66338689906471,1.51041,0.0,1500640002.0,150064.0,,,,,
543815,0.19372,4,0.194755,10.6161,0.110546,9.73885,0.216472,0.0112337,0.00722093,0.774242,0.0419921,543815.0,44.5250626720267,559.654619570184,-9.95068736852368,1.81793,301309.0,1501500001.0,150150.0,,,,,
543816,0.19524,4,0.196276,10.5909,0.124191,9.68018,0.252634,0.0153901,0.00726341,0.767631,0.0402656,543816.0,44.5262991496132,563.864656925758,-10.2814862303634,2.4329,301309.0,1501500001.0,150150.0,,,,,
543817,0.18156,4,0.182584,10.2231,0.111221,9.80767,0.185441,0.00780798,0.00673999,0.961493,0.0608253,543817.0,41.4684515273457,526.057330634031,-9.57398153945561,2.62038,300102.0,1500640002.0,150064.0,,,,,
543819,0.18271,4,0.183734,10.5395,0.0877729,9.8548,0.142978,0.0117104,0.00693285,1.14634,0.052095,543819.0,41.6736937014984,529.261333086774,-8.85894696653039,1.13006,0.0,1500640002.0,150064.0,,,,,
543820,0.18355,4,0.184575,10.4459,0.098927,9.84225,0.159555,0.00891321,0.00697733,1.11732,0.0569208,543820.0,41.6884343134534,531.587613552262,-9.70478912226408,2.93618,300102.0,1500640002.0,150064.0,,,,,
543822,0.19386,4,0.194893,10.271,0.109114,9.77447,0.199717,0.00981318,0.00733896,0.915139,0.0530158,543822.0,43.7641810955533,560.1162479353,-8.89223149159907,0.749997,0.0,1501500001.0,150150.0,,,,,
543824,0.18267,4,0.183693,10.7567,0.0949314,9.84376,0.15749,0.0101639,0.00757583,1.16934,0.0532552,543824.0,41.203960827226,529.185942830049,-8.73190661397623,1.17787,0.0,1500640002.0,150064.0,,,,,
543826,0.19313,4,0.194163,10.639,0.117387,9.76561,0.21184,0.0167337,0.0103492,1.07063,0.0590824,543826.0,43.9359184942049,558.076751944926,-8.98746003357813,2.45675,0.0,1501500001.0,150150.0,,,,,
543830,0.19436,4,0.195395,10.197,0.10808,9.75378,0.2048,0.00946698,0.0068704,0.704037,0.0468558,543830.0,44.4719695363934,561.434656230965,-9.91484106698957,0.350426,301309.0,1501500001.0,150150.0,,,,,
543844,0.19482,4,0.195854,10.3221,0.110049,9.78595,0.194985,0.012254,0.00814073,1.0147,0.0592014,543844.0,44.1280240046863,562.75990706175,-8.34760625276858,2.40658,300352.0,1501500001.0,150150.0,,,,,
